en;current;new
sock;a meia;a meia
sweater;a camisola;a camisola
skirt;a saia;a saia
bag;o saco;o saco
job;o trabalho;o trabalho
worker;o trabalhador;o trabalhador
farmer;o agricultor;o agricultor
engineer;o engenheiro;o engenheiro
lawyer;o advogado;o advogado
cook (person);o cozinheiro;o cozinheiro
driver;o condutor;o condutor
manager;o gestor;o gestor
builder;o construtor;o construtor
address;o endereço;o endereço
advice;o conselho;o conselho
to call;chamar;chamar
card;o cartão;o cartão
to describe;descrever;descrever
description;a descrição;a descrição
to explain;explicar;explicar
information;a informação;a informação
interview;a entrevista;a entrevista
letter (mail);a carta;a carta
meaning;o significado;o significado
message;a mensagem;a mensagem
name;o nome;o nome
note;a nota;a nota
post (publication);a publicação;a publicação
report;o relatório;o relatório
request;o pedido;o pedido
to send;enviar;enviar
sign (symbol);o sinal;o sinal
spelling;a ortografia;a ortografia
stamp (postage);o selo;o selo
statement;a declaração;a declaração
text;o texto;o texto
title;o título;o título
topic;o tema;o tema
word;a palavra;a palavra
writing;a escrita;a escrita
teacher;o professor;o professor
student;o estudante;o estudante
to learn;aprender;aprender
to study;estudar;estudar
class;a classe;a classe
lesson;a lição;a lição
test;o teste;o teste
book;o livro;o livro
music;a música;a música
song;a canção;a canção
dance;a dança;a dança
picture;a imagem;a imagem
story;a história;a história
art;a arte;a arte
movie;o filme;o filme
to paint;pintar;pintar
to draw;desenhar;desenhar
singer;o cantor;o cantor
actor;o ator;o ator
news;as notícias;as notícias
festival;o festival;o festival
flag;a bandeira;a bandeira
king;o rei;o rei
nation;a nação;a nação
queen;a rainha;a rainha
war;a guerra;a guerra
money;o dinheiro;o dinheiro
to buy;comprar;comprar
to sell;vender;vender
to pay;pagar;pagar
price;o preço;o preço
bank (financial);o banco;o banco
business;o negócio;o negócio
market;o mercado;o mercado
product;o produto;o produto
beach;a praia;a praia
forest;a floresta;a floresta
mountain;a montanha;a montanha
school;a escola;a escola
library;a biblioteca;a biblioteca
park;o parque;o parque
hotel;o hotel;o hotel
restaurant;o restaurante;o restaurante
airport;o aeroporto;o aeroporto
hospital;o hospital;o hospital
church;a igreja;a igreja
sport;o desporto;o desporto
ball;a bola;a bola
football;o futebol;o futebol
game;o jogo;o jogo
player;o jogador;o jogador
swimming;a natação;a natação
tennis;o ténis;o ténis
phone;o telefone;o telefone
radio;a rádio;a rádio
television;a televisão;a televisão
computer;o computador;o computador
internet;a internet;a internet
email;o email;o email
camera;a câmara;a câmara
screen;o ecrã;o ecrã
street;a rua;a rua
city;a cidade;a cidade
building;o edifício;o edifício
office;o escritório;o escritório
store;a loja;a loja
car;o carro;o carro
bus;o autocarro;o autocarro
train;o comboio;o comboio
bike;a bicicleta;a bicicleta
boat;o barco;o barco
plane;o avião;o avião
ticket;o bilhete;o bilhete
law;a lei;a lei
police;a polícia;a polícia
prison;a prisão;a prisão
crime;o crime;o crime
punishment;a punição;a punição
court (legal);o tribunal;o tribunal
judge;o juiz;o juiz
god;o deus;o deus
hell;o inferno;o inferno
to pray;rezar;rezar
priest;o padre;o padre
religion;a religião;a religião
government;o governo;o governo
president;o presidente;o presidente
energy;a energia;a energia
heat;o calor;o calor
light (illumination);a luz;a luz
sound;o som;o som
temperature;a temperatura;a temperatura
a;um/uma;um/uma
the;o;o
of the;do;do
is;é;é
a/an;uma;uma
in the;no;no
oneself;se;se
by;por;por
was;foi;foi
to the;ao;ao
to be;ser;ser
his/her;sua;sua
has;tem;tem
are;são;são
us/in the;nós;nós
by the;pelo;pelo
goes;vai;vai
only;só;só
well;bem;bem
can;pode;pode
my;minha;minha
without;sem;sem
life;a vida;a vida
they;eles;eles
house;a casa;a casa
to know;saber;saber
neither;nem;nem
work;o trabalho;o trabalho
state;o estado;o estado
form;a forma;a forma
for;para;para
less;menos;menos
someone;alguém;alguém
since;desde;desde
to speak;falar;falar
against;contra;contra
to be (location/state);estar;estar
little;pouco;pouco
beyond;além;além
night;a noite;a noite
case;o caso;o caso
to must;dever;dever
to be able to;poder;poder
time (instance);a vez;a vez
middle;o meio;o meio
type;o tipo;o tipo
while;enquanto;enquanto
truth;a verdade;a verdade
you (plural);vocês;vocês
photo;a foto;a foto
national;nacional;nacional
country;o país;o país
how much;quanto;quanto
return;a volta;a volta
account;a conta;a conta
family;a família;a família
final;final;final
to seem;parecer;parecer
agreement;o acordo;o acordo
in a (contraction);num;num
father;o pai;o pai
so much;tanto;tanto
video;o vídeo;o vídeo
of that;disso;disso
of him;dele;dele
right;o direito;o direito
late;tarde;tarde
local;local;local
friend;o amigo;o amigo
Brazilian;brasileiro;brasileiro
project;o projeto;o projeto
region;a região;a região
to go out;sair;sair
south;o sul;o sul
public;público;público
website;o site;o site
with me;comigo;comigo
film;o filme;o filme
to exist;haver;haver
badly;mal;mal
general;geral;geral
to him/her;lhe;lhe
program;o programa;o programa
social;social;social
several;vários;vários
team;a equipa;a equipa
made;feito;feito
in this;neste;neste
security;a segurança;a segurança
lack;a falta;a falta
favor;o favor;o favor
